date,price,currency,airline,stops,duration_min,departure,arrival,origin,destination,scraped_at,source,date_str,day_of_week,days_until_dep,is_direct,duration_h,month,week
2026-03-24,215.97,EUR,Iberia,0,105,2026-03-24 16:20:00,2026-03-24 18:05:00,CMN,MAD,2026-03-13 16:19:39.062820,unified-search,260324,Tuesday,11,1,1.75,3,13
2026-03-24,767.97,EUR,Qatar Airways,0,105,2026-03-24 13:45:00,2026-03-24 15:30:00,CMN,MAD,2026-03-13 16:19:39.062820,unified-search,260324,Tuesday,11,1,1.75,3,13
2026-03-24,182.0,EUR,Royal Air Maroc,1,260,2026-03-24 11:10:00,2026-03-24 15:30:00,CMN,MAD,2026-03-13 16:19:39.062820,unified-search,260324,Tuesday,11,0,4.33,3,13
2026-03-24,151.0,EUR,Royal Air Maroc,1,285,2026-03-24 16:35:00,2026-03-24 21:20:00,CMN,MAD,2026-03-13 16:19:39.062820,unified-search,260324,Tuesday,11,0,4.75,3,13
2026-03-24,137.0,EUR,TAP Air Portugal,1,270,2026-03-24 16:50:00,2026-03-24 21:20:00,CMN,MAD,2026-03-13 16:19:39.062820,unified-search,260324,Tuesday,11,0,4.5,3,13
2026-03-25,113.97,EUR,Iberia,0,105,2026-03-25 13:45:00,2026-03-25 15:30:00,CMN,MAD,2026-03-13 16:19:48.671142,unified-search,260325,Wednesday,12,1,1.75,3,13
2026-03-25,152.0,EUR,Royal Air Maroc,0,105,2026-03-25 16:20:00,2026-03-25 18:05:00,CMN,MAD,2026-03-13 16:19:48.671142,unified-search,260325,Wednesday,12,1,1.75,3,13
2026-03-25,124.0,EUR,Vueling Airlines,0,105,2026-03-25 13:45:00,2026-03-25 15:30:00,CMN,MAD,2026-03-13 16:19:48.671142,unified-search,260325,Wednesday,12,1,1.75,3,13
2026-03-25,253.0,EUR,Royal Air Maroc,0,105,2026-03-25 10:15:00,2026-03-25 12:00:00,CMN,MAD,2026-03-13 16:19:48.671142,unified-search,260325,Wednesday,12,1,1.75,3,13
2026-03-25,257.97,EUR,Iberia,0,105,2026-03-25 10:15:00,2026-03-25 12:00:00,CMN,MAD,2026-03-13 16:19:48.671142,unified-search,260325,Wednesday,12,1,1.75,3,13
2026-03-25,252.0,EUR,Royal Air Maroc,0,105,2026-03-25 13:45:00,2026-03-25 15:30:00,CMN,MAD,2026-03-13 16:19:48.671142,unified-search,260325,Wednesday,12,1,1.75,3,13
2026-03-25,215.97,EUR,Iberia,0,105,2026-03-25 16:20:00,2026-03-25 18:05:00,CMN,MAD,2026-03-13 16:19:48.671142,unified-search,260325,Wednesday,12,1,1.75,3,13
2026-03-25,768.97,EUR,Qatar Airways,0,105,2026-03-25 13:45:00,2026-03-25 15:30:00,CMN,MAD,2026-03-13 16:19:48.671142,unified-search,260325,Wednesday,12,1,1.75,3,13
2026-03-25,125.0,EUR,Royal Air Maroc,2,520,2026-03-25 16:25:00,2026-03-26 01:05:00,CMN,MAD,2026-03-13 16:19:48.671142,unified-search,260325,Wednesday,12,0,8.67,3,13
2026-03-25,128.0,EUR,Royal Air Maroc,2,520,2026-03-25 16:25:00,2026-03-26 01:05:00,CMN,MAD,2026-03-13 16:19:48.671142,unified-search,260325,Wednesday,12,0,8.67,3,13
2026-03-26,69.26,EUR,Air Arabia Maroc,0,105,2026-03-26 15:05:00,2026-03-26 16:50:00,CMN,MAD,2026-03-13 16:19:58.116464,unified-search,260326,Thursday,13,1,1.75,3,13
2026-03-26,197.99,EUR,Royal Air Maroc,0,105,2026-03-26 10:15:00,2026-03-26 12:00:00,CMN,MAD,2026-03-13 16:19:58.116464,unified-search,260326,Thursday,13,1,1.75,3,13
2026-03-26,188.0,EUR,Iberia,0,105,2026-03-26 10:15:00,2026-03-26 12:00:00,CMN,MAD,2026-03-13 16:19:58.116464,unified-search,260326,Thursday,13,1,1.75,3,13
2026-03-26,252.0,EUR,Royal Air Maroc,0,105,2026-03-26 16:20:00,2026-03-26 18:05:00,CMN,MAD,2026-03-13 16:19:58.116464,unified-search,260326,Thursday,13,1,1.75,3,13
2026-03-26,266.18,EUR,Iberia,0,105,2026-03-26 16:20:00,2026-03-26 18:05:00,CMN,MAD,2026-03-13 16:19:58.116464,unified-search,260326,Thursday,13,1,1.75,3,13
