date,price,currency,airline,stops,duration_min,departure,arrival,origin,destination,scraped_at,source
260325,113.97,EUR,Iberia,0,105,2026-03-25T13:45:00,2026-03-25T15:30:00,CMN,MAD,2026-03-13T16:19:48.671142,unified-search
260325,152.0,EUR,Royal Air Maroc,0,105,2026-03-25T16:20:00,2026-03-25T18:05:00,CMN,MAD,2026-03-13T16:19:48.671142,unified-search
260325,124.0,EUR,Vueling Airlines,0,105,2026-03-25T13:45:00,2026-03-25T15:30:00,CMN,MAD,2026-03-13T16:19:48.671142,unified-search
260325,253.0,EUR,Royal Air Maroc,0,105,2026-03-25T10:15:00,2026-03-25T12:00:00,CMN,MAD,2026-03-13T16:19:48.671142,unified-search
260325,257.97,EUR,Iberia,0,105,2026-03-25T10:15:00,2026-03-25T12:00:00,CMN,MAD,2026-03-13T16:19:48.671142,unified-search
260325,252.0,EUR,Royal Air Maroc,0,105,2026-03-25T13:45:00,2026-03-25T15:30:00,CMN,MAD,2026-03-13T16:19:48.671142,unified-search
260325,215.97,EUR,Iberia,0,105,2026-03-25T16:20:00,2026-03-25T18:05:00,CMN,MAD,2026-03-13T16:19:48.671142,unified-search
260325,768.97,EUR,Qatar Airways,0,105,2026-03-25T13:45:00,2026-03-25T15:30:00,CMN,MAD,2026-03-13T16:19:48.671142,unified-search
260325,125.0,EUR,Royal Air Maroc,2,520,2026-03-25T16:25:00,2026-03-26T01:05:00,CMN,MAD,2026-03-13T16:19:48.671142,unified-search
260325,128.0,EUR,Royal Air Maroc,2,520,2026-03-25T16:25:00,2026-03-26T01:05:00,CMN,MAD,2026-03-13T16:19:48.671142,unified-search
260326,69.26,EUR,Air Arabia Maroc,0,105,2026-03-26T15:05:00,2026-03-26T16:50:00,CMN,MAD,2026-03-13T16:19:58.116464,unified-search
260326,197.99,EUR,Royal Air Maroc,0,105,2026-03-26T10:15:00,2026-03-26T12:00:00,CMN,MAD,2026-03-13T16:19:58.116464,unified-search
260326,188.0,EUR,Iberia,0,105,2026-03-26T10:15:00,2026-03-26T12:00:00,CMN,MAD,2026-03-13T16:19:58.116464,unified-search
260326,252.0,EUR,Royal Air Maroc,0,105,2026-03-26T16:20:00,2026-03-26T18:05:00,CMN,MAD,2026-03-13T16:19:58.116464,unified-search
260326,266.18,EUR,Iberia,0,105,2026-03-26T16:20:00,2026-03-26T18:05:00,CMN,MAD,2026-03-13T16:19:58.116464,unified-search
260326,385.27,EUR,Iberia,0,105,2026-03-26T18:55:00,2026-03-26T20:40:00,CMN,MAD,2026-03-13T16:19:58.116464,unified-search
